Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.1366,532.5,2231.9739,4.1915
0.1368,553,2318.4526,4.1925
0.1370,445.5,1865.7542,4.188
0.1372,517.5,2170.9126,4.195
0.1374,361,1512.229,4.189
0.1376,628,2635.0881,4.196
0.1378,447,1874.4945,4.1935
0.1380,429,1797.51,4.19
0.1382,553.5,2320.5488,4.1925
0.1384,433,1815.3525,4.1925
0.1386,473.5,1983.9651,4.19
0.1388,676,2834.8059,4.1935
0.1390,506.5,2124.0078,4.1935
0.1392,351,1471.9185,4.1935
0.1394,361.5,1514.3235,4.189
0.1396,625.5,2622.4089,4.1925
0.1398,725,3040.2876,4.1935
0.1400,654,2742.5491,4.1935
0.1402,611,2563.145,4.195
0.1404,424.5,1780.1407,4.1935
0.1406,373.5,1566.4589,4.194
0.1408,222,930.957,4.1935
0.1410,190.5,798.6713,4.1925
0.1412,205,859.6675,4.1935
0.1414,217.5,912.0862,4.1935
0.1416,221,926.874,4.194
0.1418,198.5,832.4097,4.1935
0.1420,204.5,857.3663,4.1925
0.1422,216.5,907.8928,4.1935
0.1424,216,905.796,4.1935
0.1426,202,847.087,4.1935
0.1428,194,813.345,4.1925
0.1430,233,977.0855,4.1935
0.1432,246,1031.355,4.1925
0.1434,206.5,865.9578,4.1935
0.1436,179.5,752.105,4.19
0.1438,296.5,1243.3728,4.1935
0.1440,339,1421.2576,4.1925
0.1442,316.5,1325.5021,4.188
0.1444,497,2083.6726,4.1925
0.1446,513,2151.2656,4.1935
0.1448,428,1794.39,4.1925
0.1450,502.5,2106.2288,4.1915
0.1452,530.5,2224.6519,4.1935
0.1454,452,1894.106,4.1905
0.1456,469.5,1968.8483,4.1935
0.1458,462,1938.0901,4.195
0.1460,476,1995.1541,4.1915
0.1462,436,1827.4941,4.1915
0.1464,526.5,2206.825,4.1915
0.1466,622,2609.9121,4.196
0.1468,317.5,1330.8013,4.1915
0.1470,346,1450.605,4.1925
0.1472,351,1471.5675,4.1925
0.1474,361,1512.229,4.189
0.1476,520.5,2181.6758,4.1915
0.1478,386,1618.691,4.1935
0.1480,286,1199.3411,4.1935
0.1482,275.5,1155.3092,4.1935
0.1484,254,1064.8951,4.1925
0.1486,259,1086.1165,4.1935
0.1488,275.5,1155.0338,4.1925
0.1490,278.5,1167.6113,4.1925
0.1492,258.5,1083.7612,4.1925
0.1494,258,1081.923,4.1935
0.1496,276.5,1159.2263,4.1925
0.1498,276,1157.13,4.1925
0.1500,267.5,1121.7612,4.1935
0.1502,256,1073.536,4.1935
0.1504,315,1319.2201,4.188
0.1506,649,2720.9326,4.1925
0.1508,684.5,2869.7664,4.1925
0.1510,659,2762.8577,4.1925
0.1512,628.5,2634.3579,4.1915
0.1514,653,2738.3555,4.1935
0.1516,617,2586.7725,4.1925
0.1518,554.5,2325.2957,4.1935
0.1520,550.5,2307.9712,4.1925
0.1522,610,2557.425,4.1925
0.1524,626,2625.1311,4.1935
0.1526,469,1965.3444,4.1905
0.1528,591,2477.1765,4.1915
0.1530,646,2709.3237,4.194
0.1532,586,2456.8052,4.1925
0.1534,652.5,2736.585,4.194
