Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.086,490.5,2057.157,4.195,0.00041153
0.0862,449.5,1884.9783,4.195,0.000377131
0.0864,395,1656.6299,4.195,0.000331405
0.0866,419,1757.0765,4.195,0.000351541
0.0868,417,1748.6896,4.195,0.000349863
0.087,413.5,1734.0122,4.195,0.000346927
0.0872,397.5,1666.9163,4.195,0.000333503
0.0874,403.5,1692.0773,4.195,0.000338536
0.0876,392,1643.4601,4.195,0.000328888
0.0878,410.5,1721.0212,4.195,0.000344409
0.088,393,1647.6526,4.195,0.000329727
0.0882,404.5,1695.8663,4.195,0.000339376
0.0884,413,1731.0896,4.195,0.000346507
0.0886,413.5,1734.0122,4.195,0.000346927
0.0888,392,1643.8521,4.195,0.000328888
0.089,393,1648.2419,4.195,0.000329727
0.0892,428,1794.39,4.195,0.000359092
0.0894,468,1962.7919,4.195,0.000392652
0.0896,444,1862.1359,4.195,0.000372516
0.0898,389,1631.2715,4.195,0.000326371
0.09,389.5,1633.3683,4.195,0.000326791
0.0902,386.5,1620.7877,4.195,0.000324273
0.0904,376.5,1578.8528,4.195,0.000315884
0.0906,377.5,1583.0463,4.195,0.000316723
0.0908,388.5,1629.1748,4.195,0.000325951
0.091,389.5,1633.3683,4.195,0.000326791
0.0912,378.5,1587.2397,4.195,0.000317561
0.0914,370,1551.595,4.195,0.00031043
0.0916,387.5,1624.9813,4.195,0.000325113
0.0918,392.5,1645.9487,4.195,0.000329307
0.092,379.5,1591.4332,4.195,0.000318401
0.0922,366.5,1536.5513,4.195,0.000307493
0.0924,390,1635.465,4.195,0.00032721
0.0926,387.5,1624.9813,4.195,0.000325112
0.0928,384,1610.304,4.195,0.000322176
0.093,365.5,1532.3588,4.195,0.000306655
0.0932,383,1606.1105,4.195,0.000321337
0.0934,389,1631.2715,4.195,0.000326371
0.0936,384,1610.304,4.195,0.000322176
0.0938,364.5,1528.5308,4.195,0.000305816
0.094,391,1639.8539,4.195,0.000328049
0.0942,389,1631.2715,4.195,0.000326371
0.0944,386,1618.8839,4.195,0.000323854
0.0946,367.5,1540.7438,4.195,0.000308332
0.0948,386,1618.691,4.195,0.000323854
0.095,385,1614.4976,4.195,0.000323015
0.0952,441.5,1851.4303,4.195,0.000370418
0.0954,495,2076.5251,4.195,0.000415305
0.0956,381.5,1599.8203,4.195,0.000320078
0.0958,370.5,1553.6918,4.195,0.00031085
0.096,373.5,1565.8988,4.195,0.000313366
0.0962,358,1501.2731,4.195,0.000300362
0.0964,343,1438.5419,4.195,0.000287777
0.0966,347,1454.7975,4.195,0.000291133
0.0968,353.5,1482.4022,4.195,0.000296587
0.097,350,1467.8999,4.195,0.00029365
