Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.077,239.5,1004.463,4.195,0.000200941
0.0772,242.5,1016.9238,4.195,0.000203457
0.0774,240,1006.5599,4.195,0.00020136
0.0776,220.5,924.6667,4.195,0.000184999
0.0778,237,993.978,4.195,0.000198843
0.078,246.5,1033.6978,4.195,0.000206814
0.0782,244,1023.3359,4.195,0.000204716
0.0784,245.5,1029.2588,4.195,0.000205975
0.0786,296.5,1243.3728,4.195,0.000248763
0.0788,305,1279.0175,4.195,0.000255895
0.079,317,1329.3395,4.195,0.000265963
0.0792,316.5,1327.2428,4.195,0.000265543
0.0794,336.5,1410.7762,4.195,0.000282324
0.0796,365.5,1532.7242,4.195,0.000306654
0.0798,373.5,1566.2722,4.195,0.000313367
0.08,390,1636.05,4.195,0.00032721
0.0802,371,1555.7886,4.195,0.000311269
0.0804,399,1673.2065,4.195,0.000334761
0.0806,368,1543.208,4.195,0.000308752
0.0808,331.5,1390.1453,4.195,0.000278129
0.081,325.5,1364.0077,4.195,0.000273094
0.0812,326.5,1369.1777,4.195,0.000273934
0.0814,284.5,1192.7662,4.195,0.000238696
0.0816,287.5,1205.6312,4.195,0.000241212
0.0818,293.5,1230.4988,4.195,0.000246247
0.082,308,1291.598,4.195,0.000258412
0.0822,308,1291.598,4.195,0.000258412
0.0824,299.5,1255.9532,4.195,0.000251281
0.0826,305,1278.7125,4.195,0.000255895
0.0828,348,1459.338,4.195,0.000291972
0.083,312.5,1310.4688,4.195,0.000262187
0.0832,306.5,1285.3077,4.195,0.000257154
0.0834,292,1224.2101,4.195,0.000244988
0.0836,308,1291.598,4.195,0.000258412
0.0838,328,1375.468,4.195,0.000275192
0.084,346.5,1453.0477,4.195,0.000290713
0.0842,331.5,1390.6426,4.195,0.000278129
0.0844,316.5,1327.2428,4.195,0.000265543
0.0846,306.5,1285.3077,4.195,0.000257154
0.0848,308,1291.752,4.195,0.000258412
0.085,275.5,1155.0338,4.195,0.000231144
0.0852,294,1232.889,4.195,0.000246666
0.0854,312.5,1310.4688,4.195,0.000262187
0.0856,312.5,1310.4688,4.195,0.000262188
0.0858,297.5,1247.5663,4.195,0.000249602
0.086,294,1232.5951,4.195,0.000246666
0.0862,327.5,1373.3712,4.195,0.000274773
0.0864,350.5,1469.4713,4.195,0.000294069
0.0866,345.5,1448.8542,4.195,0.000289875
0.0868,333,1396.4355,4.195,0.000279387
0.087,362,1518.047,4.195,0.000303718
0.0872,367,1539.0145,4.195,0.000307913
0.0874,354.5,1486.5958,4.195,0.000297425
0.0876,337,1413.2095,4.195,0.000282743
0.0878,352,1475.76,4.195,0.000295328
0.088,376,1576.756,4.195,0.000315464
0.0882,398.5,1671.1097,4.195,0.000334342
0.0884,355.5,1490.4338,4.195,0.000298264
0.0886,368,1543.208,4.195,0.000308752
0.0888,380,1593.53,4.195,0.00031882
0.089,336,1409.016,4.195,0.000281904
0.0892,286,1199.3411,4.195,0.000239954
0.0894,301,1262.2435,4.195,0.000252539
0.0896,301.5,1264.3402,4.195,0.000252959
0.0898,311,1304.1785,4.195,0.000260929
0.09,311,1304.1785,4.195,0.000260929
0.0902,334,1400.629,4.195,0.000280226
0.0904,362.5,1520.1438,4.195,0.000304138
0.0906,363.5,1523.9738,4.195,0.000304977
0.0908,365,1530.6276,4.195,0.000306235
0.091,346,1450.951,4.195,0.000290294
0.0912,349,1463.5315,4.195,0.000292811
0.0914,344.5,1444.6608,4.195,0.000289036
0.0916,332.5,1394.3387,4.195,0.000278968
0.0918,333.5,1398.5322,4.195,0.000279806
0.092,350.5,1469.4713,4.195,0.00029407
0.0922,350.5,1469.8218,4.195,0.000294069
0.0924,331,1388.0485,4.195,0.000277709
0.0926,319,1337.7266,4.195,0.000267641
0.0928,319.5,1339.8232,4.195,0.000268061
0.093,327,1370.6206,4.195,0.000274353
0.0932,352,1476.288,4.195,0.000295328
0.0934,339.5,1423.3538,4.195,0.000284841
0.0936,383.5,1608.2073,4.195,0.000321756
0.0938,393,1647.6526,4.195,0.000329727
0.094,401.5,1683.6903,4.195,0.000336859
0.0942,412,1727.722,4.195,0.000345668
0.0944,422.5,1771.9648,4.195,0.000354478
0.0946,419,1757.0765,4.195,0.000351541
0.0948,417,1748.8979,4.195,0.000349863
0.095,409.5,1716.4193,4.195,0.000343571
0.0952,437,1832.778,4.195,0.000366643
0.0954,405.5,1700.4642,4.195,0.000340215
0.0956,374,1568.369,4.195,0.000313786
0.0958,349,1463.5315,4.195,0.000292811
0.096,366,1534.821,4.195,0.000307074
0.0962,371.5,1557.5138,4.195,0.000311689
0.0964,391.5,1641.9509,4.195,0.000328469
0.0966,352.5,1478.2087,4.195,0.000295747
